@relation past-tense
@attribute frequency NUMERIC
@attribute p1 {=, @, &, 3:, A:, aI, aU, b, bj, bl, bl#, br, d, D, dj, dl#, dn#, dr, dw, dZ, E, E@, eI, f, fj, fl, fl#, fn#, fr, ft, g, gj, gl, gl#, gr, gw, h, hj, i:, I, I@, j, k, kj, kl, kl#, kr, ks, kt, kw, l, ld, ldZ, lf, lj, lk, lm, lp, lpt, ls, lS, lt, ltS, lv, m, mf, mj, ml#, mp, mps, mpt, n, N, nd, ndZ, nj, Nk, nl#, ns, nt, ntS, nz, O, O:, OI, p, pj, pl, pl#, pr, ps, pt, r, r*, s, S, sj, sk, skj, skl, skr, skw, sl, sl#, Sl#, sm, sn, sn#, Sn#, sp, spj, spl, spr, Sr, st, stj, str, sw, t, T, tj, Tj, tl#, tn#, Tn#, tr, Tr, ts, tS, tSr, tw, Tw, u:, U, @U, U@, v, V, vj, vl#, vn#, vz, w, z, Z, zj, zl#, zn#, Zn#}
@attribute p2 {=, @, &, 3:, A:, aI, aU, b, bj, bl, bl#, br, d, D, dj, dl#, dn#, dr, dw, dZ, E, E@, eI, f, fj, fl, fl#, fn#, fr, ft, g, gj, gl, gl#, gr, gw, h, hj, i:, I, I@, j, k, kj, kl, kl#, kr, ks, kt, kw, l, ld, ldZ, lf, lj, lk, lm, lp, lpt, ls, lS, lt, ltS, lv, m, mf, mj, ml#, mp, mps, mpt, n, N, nd, ndZ, nj, Nk, nl#, ns, nt, ntS, nz, O, O:, OI, p, pj, pl, pl#, pr, ps, pt, r, r*, s, S, sj, sk, skj, skl, skr, skw, sl, sl#, Sl#, sm, sn, sn#, Sn#, sp, spj, spl, spr, Sr, st, stj, str, sw, t, T, tj, Tj, tl#, tn#, Tn#, tr, Tr, ts, tS, tSr, tw, Tw, u:, U, @U, U@, v, V, vj, vl#, vn#, vz, w, z, Z, zj, zl#, zn#, Zn#}
@attribute p3 {=, @, &, 3:, A:, aI, aU, b, bj, bl, bl#, br, d, D, dj, dl#, dn#, dr, dw, dZ, E, E@, eI, f, fj, fl, fl#, fn#, fr, ft, g, gj, gl, gl#, gr, gw, h, hj, i:, I, I@, j, k, kj, kl, kl#, kr, ks, kt, kw, l, ld, ldZ, lf, lj, lk, lm, lp, lpt, ls, lS, lt, ltS, lv, m, mf, mj, ml#, mp, mps, mpt, n, N, nd, ndZ, nj, Nk, nl#, ns, nt, ntS, nz, O, O:, OI, p, pj, pl, pl#, pr, ps, pt, r, r*, s, S, sj, sk, skj, skl, skr, skw, sl, sl#, Sl#, sm, sn, sn#, Sn#, sp, spj, spl, spr, Sr, st, stj, str, sw, t, T, tj, Tj, tl#, tn#, Tn#, tr, Tr, ts, tS, tSr, tw, Tw, u:, U, @U, U@, v, V, vj, vl#, vn#, vz, w, z, Z, zj, zl#, zn#, Zn#}
@attribute p4 {=, @, &, 3:, A:, aI, aU, b, bj, bl, bl#, br, d, D, dj, dl#, dn#, dr, dw, dZ, E, E@, eI, f, fj, fl, fl#, fn#, fr, ft, g, gj, gl, gl#, gr, gw, h, hj, i:, I, I@, j, k, kj, kl, kl#, kr, ks, kt, kw, l, ld, ldZ, lf, lj, lk, lm, lp, lpt, ls, lS, lt, ltS, lv, m, mf, mj, ml#, mp, mps, mpt, n, N, nd, ndZ, nj, Nk, nl#, ns, nt, ntS, nz, O, O:, OI, p, pj, pl, pl#, pr, ps, pt, r, r*, s, S, sj, sk, skj, skl, skr, skw, sl, sl#, Sl#, sm, sn, sn#, Sn#, sp, spj, spl, spr, Sr, st, stj, str, sw, t, T, tj, Tj, tl#, tn#, Tn#, tr, Tr, ts, tS, tSr, tw, Tw, u:, U, @U, U@, v, V, vj, vl#, vn#, vz, w, z, Z, zj, zl#, zn#, Zn#}
@attribute p5 {=, @, &, 3:, A:, aI, aU, b, bj, bl, bl#, br, d, D, dj, dl#, dn#, dr, dw, dZ, E, E@, eI, f, fj, fl, fl#, fn#, fr, ft, g, gj, gl, gl#, gr, gw, h, hj, i:, I, I@, j, k, kj, kl, kl#, kr, ks, kt, kw, l, ld, ldZ, lf, lj, lk, lm, lp, lpt, ls, lS, lt, ltS, lv, m, mf, mj, ml#, mp, mps, mpt, n, N, nd, ndZ, nj, Nk, nl#, ns, nt, ntS, nz, O, O:, OI, p, pj, pl, pl#, pr, ps, pt, r, r*, s, S, sj, sk, skj, skl, skr, skw, sl, sl#, Sl#, sm, sn, sn#, Sn#, sp, spj, spl, spr, Sr, st, stj, str, sw, t, T, tj, Tj, tl#, tn#, Tn#, tr, Tr, ts, tS, tSr, tw, Tw, u:, U, @U, U@, v, V, vj, vl#, vn#, vz, w, z, Z, zj, zl#, zn#, Zn#}
@attribute p6 {=, @, &, 3:, A:, aI, aU, b, bj, bl, bl#, br, d, D, dj, dl#, dn#, dr, dw, dZ, E, E@, eI, f, fj, fl, fl#, fn#, fr, ft, g, gj, gl, gl#, gr, gw, h, hj, i:, I, I@, j, k, kj, kl, kl#, kr, ks, kt, kw, l, ld, ldZ, lf, lj, lk, lm, lp, lpt, ls, lS, lt, ltS, lv, m, mf, mj, ml#, mp, mps, mpt, n, N, nd, ndZ, nj, Nk, nl#, ns, nt, ntS, nz, O, O:, OI, p, pj, pl, pl#, pr, ps, pt, r, r*, s, S, sj, sk, skj, skl, skr, skw, sl, sl#, Sl#, sm, sn, sn#, Sn#, sp, spj, spl, spr, Sr, st, stj, str, sw, t, T, tj, Tj, tl#, tn#, Tn#, tr, Tr, ts, tS, tSr, tw, Tw, u:, U, @U, U@, v, V, vj, vl#, vn#, vz, w, z, Z, zj, zl#, zn#, Zn#}
@attribute p7 {=, @, &, 3:, A:, aI, aU, b, bj, bl, bl#, br, d, D, dj, dl#, dn#, dr, dw, dZ, E, E@, eI, f, fj, fl, fl#, fn#, fr, ft, g, gj, gl, gl#, gr, gw, h, hj, i:, I, I@, j, k, kj, kl, kl#, kr, ks, kt, kw, l, ld, ldZ, lf, lj, lk, lm, lp, lpt, ls, lS, lt, ltS, lv, m, mf, mj, ml#, mp, mps, mpt, n, N, nd, ndZ, nj, Nk, nl#, ns, nt, ntS, nz, O, O:, OI, p, pj, pl, pl#, pr, ps, pt, r, r*, s, S, sj, sk, skj, skl, skr, skw, sl, sl#, Sl#, sm, sn, sn#, Sn#, sp, spj, spl, spr, Sr, st, stj, str, sw, t, T, tj, Tj, tl#, tn#, Tn#, tr, Tr, ts, tS, tSr, tw, Tw, u:, U, @U, U@, v, V, vj, vl#, vn#, vz, w, z, Z, zj, zl#, zn#, Zn#}
@attribute p8 {=, @, &, 3:, A:, aI, aU, b, bj, bl, bl#, br, d, D, dj, dl#, dn#, dr, dw, dZ, E, E@, eI, f, fj, fl, fl#, fn#, fr, ft, g, gj, gl, gl#, gr, gw, h, hj, i:, I, I@, j, k, kj, kl, kl#, kr, ks, kt, kw, l, ld, ldZ, lf, lj, lk, lm, lp, lpt, ls, lS, lt, ltS, lv, m, mf, mj, ml#, mp, mps, mpt, n, N, nd, ndZ, nj, Nk, nl#, ns, nt, ntS, nz, O, O:, OI, p, pj, pl, pl#, pr, ps, pt, r, r*, s, S, sj, sk, skj, skl, skr, skw, sl, sl#, Sl#, sm, sn, sn#, Sn#, sp, spj, spl, spr, Sr, st, stj, str, sw, t, T, tj, Tj, tl#, tn#, Tn#, tr, Tr, ts, tS, tSr, tw, Tw, u:, U, @U, U@, v, V, vj, vl#, vn#, vz, w, z, Z, zj, zl#, zn#, Zn#}
@attribute p9 {=, @, &, 3:, A:, aI, aU, b, bj, bl, bl#, br, d, D, dj, dl#, dn#, dr, dw, dZ, E, E@, eI, f, fj, fl, fl#, fn#, fr, ft, g, gj, gl, gl#, gr, gw, h, hj, i:, I, I@, j, k, kj, kl, kl#, kr, ks, kt, kw, l, ld, ldZ, lf, lj, lk, lm, lp, lpt, ls, lS, lt, ltS, lv, m, mf, mj, ml#, mp, mps, mpt, n, N, nd, ndZ, nj, Nk, nl#, ns, nt, ntS, nz, O, O:, OI, p, pj, pl, pl#, pr, ps, pt, r, r*, s, S, sj, sk, skj, skl, skr, skw, sl, sl#, Sl#, sm, sn, sn#, Sn#, sp, spj, spl, spr, Sr, st, stj, str, sw, t, T, tj, Tj, tl#, tn#, Tn#, tr, Tr, ts, tS, tSr, tw, Tw, u:, U, @U, U@, v, V, vj, vl#, vn#, vz, w, z, Z, zj, zl#, zn#, Zn#}
@attribute class { IRREG-aI-aU.,  IRREG-aI-eI.,  IRREG-aI-I.,  IRREG-aI-O:., IRREG-aI-O.,  IRREG-aI-u:.,  IRREG-aI-@U.,  IRREG-aI-V.,  IRREG-CONV., IRREG-@+d.,  IRREG-d-t.,  IRREG-E-&.,  IRREG-eI-u:.,  IRREG-eI-@U., IRREG-eI-U.,  IRREG-E-O.,  IRREG-E@-O:.,  IRREG-I-&.,  IRREG-i:-E., IRREG-i:-E+d.,  IRREG-I-eI.,  IRREG-i:-E+t.,  IRREG-i:-O:., IRREG-i:-@U.,  IRREG-I-U.,  IRREG-I-V.,  IRREG-@+ked.,  IRREG-O:-E., IRREG-OTHER.,  IRREG-O-u.,  IRREG-O:-u:.,  IRREG-@-s+ed.,  IRREG-@+t., IRREG-@U-E.,  IRREG-@U-ju:.,  IRREG-u:-O.,  IRREG-u:-@U., IRREG-@U-u:.,  IRREG-&-V.,  IRREG-V-&.,  IRREG-V-eI.,  REG.}

@data
975,=,@,=,b,&,n,d,@,n,REG.
15,=,=,=,=,@,=,b,&,S,REG.
42,=,=,=,=,@,=,b,eI,t,REG.
35,br,i:,=,v,I,=,=,eI,t,REG.
40,=,&,b,d,I,=,k,eI,t,REG.
19,=,=,=,=,@,b,d,V,kt,REG.
33,=,=,=,=,@,=,b,E,t,REG.
39,=,=,=,=,@,b,h,O:,r*,REG.
84,=,=,=,=,@,=,b,aI,d,REG.
84,=,=,=,=,@,=,b,aI,d,IRREG-aI-@U.
301,=,@,=,b,O,=,l,I,S,REG.
35,=,=,=,=,@,=,b,O:,t,REG.
84,=,=,=,=,@,=,b,aU,nd,REG.
15,=,=,=,=,@,=,br,I,dZ,REG.
12,=,&,=,br,@U,=,g,eI,t,REG.
23,=,=,=,=,&,b,s,E,nt,REG.
35,=,=,=,=,@,b,z,O,lv,REG.
679,=,=,=,=,@,b,s,O:,b,REG.
65,=,=,=,=,@,b,st,eI,n,REG.
23,=,=,=,=,&,b,str,&,kt,REG.
122,=,=,=,=,@,=,bj,u:,z,REG.
36,=,=,=,=,&,k,s,i:,d,REG.
269,s,E,=,l,@,=,r,eI,t,REG.
27,=,=,=,=,&,k,s,E,nt,REG.
71,s,E,n,tj,U,=,=,eI,t,REG.
3712,=,=,=,=,@,k,s,E,pt,REG.
36,=,=,=,=,@,=,kl,eI,m,REG.
22,kl,aI,=,m,@,=,t,aI,z,REG.
263,k,O,=,m,@,=,d,eI,t,REG.
858,k,V,m,p,@,=,n,I,=,REG.
269,=,@,=,k,V,m,pl,I,S,REG.
2010,=,=,=,=,@,=,k,O:,d,REG.
34,=,=,=,=,@,=,k,O,st,REG.
613,=,=,=,=,@,=,k,aU,nt,REG.
11,=,@,=,kr,E,=,d,I,t,REG.
72,=,=,=,=,@,=,kr,u:,=,REG.
291,kj,u:,=,mj,U,=,l,eI,t,REG.
648,=,=,=,=,@,=,kj,u:,z,REG.
23,=,@,=,k,V,=,st,@,m,REG.
218,=,=,=,=,=,=,=,eI,k,REG.
2121,=,=,=,=,@,=,tS,i:,v,REG.
611,=,@,k,n,O,=,l,I,dZ,REG.
34,=,&,=,kw,I,=,=,E,s,REG.
1035,=,@,=,kw,aI,=,=,@,r*,REG.
60,=,=,=,=,@,=,kw,I,t,REG.
2212,=,=,=,=,=,=,=,&,kt,REG.
96,=,&,k,t,I,=,v,eI,t,REG.
464,=,=,=,=,@,=,d,&,pt,REG.
4190,=,=,=,=,=,=,=,&,d,REG.
45,=,=,=,=,@,=,d,I,kt,REG.
14,=,=,=,=,&,=,dl#,=,=,REG.
631,=,=,=,=,@,=,dr,E,s,REG.
10,=,=,=,=,@,=,dj,u:,s,REG.
98,=,=,=,=,@,d,h,I@,r*,REG.
42,=,=,=,=,@,=,dZ,OI,n,REG.
33,=,=,=,=,@,=,dZ,3:,n,REG.
15,=,=,=,=,@,=,dZ,V,dZ,REG.
13,dZ,u:,=,d,I,=,k,eI,t,REG.
12,=,=,=,=,@,=,dZ,U@,r*,REG.
468,=,=,=,=,@,=,dZ,V,st,REG.
210,m,I,=,n,I,=,st,@,r*,REG.
783,=,@,d,m,aI,=,=,@,r*,REG.
1747,=,=,=,=,@,d,m,I,t,REG.
35,=,@,d,m,O,=,n,I,S,REG.
1048,=,=,=,=,@,=,d,O,pt,REG.
218,=,=,=,=,@,=,d,O:,r*,REG.
75,=,=,=,=,@,=,d,O:,n,REG.
10,d,V,l,t,@,=,r,eI,t,REG.
521,=,=,=,=,@,d,v,A:,ns,REG.
10,=,@,d,v,A:,n,t,I,dZ,REG.
277,=,&,d,v,@,=,t,aI,z,REG.
770,=,=,=,=,@,d,v,aI,z,REG.
254,=,&,d,v,@,=,k,eI,t,REG.
15,=,eI,=,=,@,=,r,eI,t,REG.
1323,=,=,=,=,@,=,f,E,kt,REG.
107,f,I,=,l,I,=,=,eI,t,REG.
103,=,=,=,=,@,=,f,3:,m,REG.
10,=,=,=,=,@,=,f,I,ks,REG.
101,=,=,=,=,@,=,fl,I,kt,REG.
1119,=,=,=,=,@,=,f,O:,d,REG.
37,=,=,=,=,@,=,fr,V,nt,REG.
151,=,=,=,=,=,=,=,eI,dZ,REG.
77,=,&,=,gr,@,=,v,eI,t,REG.
12,=,&,=,gr,I,=,g,eI,t,REG.
25,=,&,=,dZ,I,=,t,eI,t,REG.
30,=,&,=,g,@,=,n,aI,z,REG.
3424,=,=,=,=,@,=,gr,i:,=,REG.
167,=,=,=,=,=,=,=,eI,d,REG.
200,=,=,=,=,=,=,=,eI,l,REG.
631,=,=,=,=,=,=,=,eI,m,REG.
25,=,=,=,=,=,=,=,E@,r*,REG.
281,=,=,=,=,@,=,l,A:,m,REG.
162,=,=,=,=,@,=,l,3:,t,REG.
151,=,eI,=,lj,@,=,n,eI,t,REG.
53,=,=,=,=,@,=,l,aI,t,REG.
53,=,=,=,=,@,=,l,aI,t,IRREG-aI-I.
44,=,=,=,=,@,=,l,aI,n,REG.
38,=,=,=,=,@,=,l,eI,=,REG.
311,=,=,=,=,@,=,l,E,dZ,REG.
82,l,i:,=,v,I,=,=,eI,t,REG.
145,=,&,=,l,@U,=,k,eI,t,REG.
97,=,=,=,=,@,=,l,O,t,REG.
4744,=,=,=,=,@,=,l,aU,=,REG.
91,=,=,=,=,@,=,l,aI,=,REG.
705,=,=,=,=,O:,l,t,@,r*,REG.
124,=,O:,l,t,@,=,n,eI,t,REG.
41,m,&,l,g,@,=,m,eI,t,REG.
39,=,=,=,=,@,=,m,&,s,REG.
300,=,=,=,=,@,=,m,eI,z,REG.
42,=,=,=,=,&,m,bl#,=,=,REG.
48,=,=,=,=,&,m,b,U,S,REG.
18,m,i:,=,lj,@,=,r,eI,t,REG.
83,=,=,=,=,@,=,m,E,nd,REG.
10,=,@,=,m,O:,=,t,aI,z,REG.
74,=,&,m,pl,I,=,f,aI,=,REG.
34,=,&,m,pj,U,=,t,eI,t,REG.
470,=,=,=,=,@,=,mj,u:,z,REG.
20,n,i:,s,T,@,=,t,aI,z,REG.
403,=,&,=,n,@,=,l,aI,z,REG.
90,=,=,=,=,&,N,k,@,r*,REG.
137,=,=,=,=,&,N,g,@,r*,REG.
57,=,=,=,=,&,N,gl#,=,=,REG.
12,=,&,N,gl,I,=,s,aI,z,REG.
102,=,&,=,n,I,=,m,eI,t,REG.
31,=,=,=,=,@,=,n,E,ks,REG.
43,n,aI,=,=,@,=,l,eI,t,REG.
15,=,&,=,n,@U,=,t,eI,t,REG.
1334,=,=,=,=,@,=,n,aU,ns,REG.
315,=,=,=,=,@,=,n,OI,=,REG.
12,=,=,=,=,@,=,n,V,l,REG.
69,=,=,=,=,@,=,n,OI,nt,REG.
3048,=,=,=,=,A:,n,s,@,r*,REG.
20,t,&,=,g,@,=,n,aI,z,REG.
10,=,&,n,t,I,=,d,eI,t,REG.
382,t,I,=,s,I,=,p,eI,t,REG.
22,=,=,=,=,=,=,=,eI,p,REG.
323,p,O,=,l,@,=,dZ,aI,z,REG.
175,=,=,=,=,@,=,p,O:,l,REG.
396,=,=,=,=,@,=,p,i:,l,REG.
5226,=,=,=,=,@,=,p,I@,r*,REG.
70,=,=,=,=,@,=,p,i:,z,REG.
14,=,=,=,=,@,=,p,E,nd,REG.
163,=,=,=,=,@,=,pl,O:,d,REG.
2111,=,=,=,=,@,=,pl,aI,=,REG.
465,=,=,=,=,@,=,p,OI,nt,REG.
13,=,@,=,p,O:,=,Sn#,=,=,REG.
33,=,=,=,=,@,=,pr,eI,z,REG.
624,pr,i:,=,S,I,=,=,eI,t,REG.
51,=,&,=,pr,I,=,h,E,nd,REG.
15,=,@,=,pr,E,n,t,I,s,REG.
14,=,=,=,=,@,=,pr,aI,z,REG.
1427,=,=,=,=,@,=,pr,@U,tS,REG.
51,pr,@U,=,pr,I,=,=,eI,t,REG.
802,=,=,=,=,@,=,pr,u:,v,REG.
42,pr,O,k,s,I,=,m,eI,t,REG.
150,=,=,=,=,=,=,=,A:,tS,REG.
2130,=,=,=,=,A:,=,gj,u:,=,REG.
1088,=,=,=,=,@,=,r,aI,z,IRREG-aI-@U.
100,=,=,=,=,=,=,=,A:,m,REG.
427,=,=,=,=,@,=,r,aU,z,REG.
10,=,=,=,=,@,=,r,eI,n,REG.
1587,=,=,=,=,@,=,r,eI,ndZ,REG.
17,=,=,=,=,@,=,r,eI,=,REG.
601,=,=,=,=,@,=,r,E,st,REG.
3073,=,=,=,=,@,=,r,aI,v,REG.
13,=,&,=,r,@U,=,g,eI,t,REG.
10,=,A:,=,t,I,=,kl#,=,=,REG.
63,t,I,=,kj,U,=,l,eI,t,REG.
121,=,=,=,=,@,=,s,E,nd,REG.
72,=,&,=,s,@,=,t,eI,n,REG.
14651,=,=,=,=,=,=,=,A:,sk,REG.
10,=,=,=,=,&,s,f,&,lt,REG.
127,=,@,=,sp,aI,=,=,@,r*,REG.
50,=,=,=,=,@,=,s,eI,l,REG.
64,s,&,=,s,I,=,n,eI,t,REG.
157,=,=,=,=,@,=,s,O:,lt,REG.
425,=,@,=,s,E,m,bl#,=,=,REG.
16,=,=,=,=,@,=,s,E,nt,REG.
407,=,=,=,=,@,=,s,3:,t,REG.
417,=,=,=,=,@,=,s,E,s,REG.
329,=,=,=,=,@,=,s,aI,n,REG.
113,s,I,=,m,I,=,l,eI,t,REG.
362,=,=,=,=,@,=,s,I,st,REG.
