@relation plural
@attribute frequency NUMERIC
@attribute p1 {+, +l, +r, -, =, =l, =v, J, N, S, Sl, Sm, Sn, Sp, Spl, Spr, Sr, St, Str, Sv, Z, _, b, bl, br, d, dl, dm, dn, dr, f, fl, fr, g, gl, gm, gn, gr, h, j, k, kl, kn, kr, ks, kv, l, m, n, p, pj, pl, pn, pr, ps, pt, r, s, s=, sf, sk, skl, skr, sl, sm, sp, st, stj, str, sv, t, tl, tn, tr, v, vj, x, z}
@attribute p2 {#, &, ), -, /, 0, 1, 2, 6, @, B, E, I, O, U, W, X, Y, a, e, i, o, q, u, y, |, ~}
@attribute p3 {+, -, =, =t, J, N, Nk, Nkt, Ns, Nst, Nt, S, d, f, f=, fs, ft, k, ks, kst, kt, l, l=, lS, lf, lfs, lk, lks, lm, lp, lps, lpst, ls, lst, lt, lx, m, m+, m=, mf, mp, ms, mt, n, n=, nJ, nS, nd, nf, nf=, nft, ns, nst, nt, ntl, nx, p, ps, pst, pt, r, r=, rS, rf, rk, rkt, rl, rm, rn, rnst, rp, rpst, rs, rst, rt, rx, s, sp, st, t, x, x=, xs, xst, xt}
@attribute p4 {+, +l, +r, -, =, =l, =v, J, N, Nl, S, Sl, Sm, Sn, Sp, Spl, Spr, Sr, St, Str, Sv, Z, _, _m, b, bl, br, d, dl, dn, dr, f, fj, fl, fr, ft, g, gl, gm, gn, gr, h, j, k, kl, kn, kr, ks, kv, l, m, ml, n, p, pl, pn, pr, ps, r, s, s=, sf, sk, skr, skv, sl, sn, sp, sr, st, str, sv, t, tl, tn, tr, tv, v, vj, vr, x, xl, z, zn} 
@attribute p5 {#, $, &, ), /, 0, 4, @, B, E, I, O, U, W, X, Y, ^, a, e, i, o, q, u, y, (, |, ~}
@attribute p6 {+, -, =, J, N, Nk, Nks, Nkt, Nst, S, Z, _, b, f, ft, k, ks, kst, kt, l, l=, lf, lk, lm, lp, lps, ls, lst, lt, lx, m, m+, mS, mf, mp, mps, ms, mt, n, n=, nJ, nS, nd, nf, nft, ns, nst, nt, nx, p, ps, pst, pt, r, r=, r=t, rS, rf, rft, rk, rkt, rl, rm, rn, rp, rpst, rpt, rs, rst, rt, rx, s, sk, st, t, v, x, x=, xt}
@attribute gender {-, F, FM, FN, M, MF, MN, N, NF, NM}
@attribute class {-, U, Ue, Uer, e, en, er, s}

@data
11,l,a,-,d,U,N,F,en
2,k,/,-,x,@,r,M,-
10,t,o,n,-,a,rt,F,en
11,h,E,N,z,@,l,N,-
2,-,-,-,kn,&,st,M,e
0,-,e,-,r,@,-,F,en
0,t,e,-,br,a,t,M,en
59,g,@,-,v,I,xt,N,e
5,fl,u,k,=,X,k,N,e
4,t,@,r,tr,o,k,M,Ue
0,Sm,W,-,s,@,r,M,-
0,t,O,s,k,o,p,N,e
99,r,&,-,t,u,r,F,en
5,l,E,n,d,@,-,N,-
8,-,E,r,k,@,r,M,-
0,f,@,-,z,&,=,M,Ue
0,t,i,-,g,@,r,M,-
6,k,&,-,m,@,r,F,en
2,m,a,-,z,@,r,F,en
2,r,&,-,t,u,r,F,en
42,Str,W,x,h,O,l=,N,Uer
8,r,@,-,m,q,-,N,s
10,Sp,i,-,g,@,l,M,-
16,p,&,-,p,@,l,F,en
0,v,e,-,z,@,n,N,-
0,f,@,-,r,@,r,M,-
1,f,y,s,l,@,r,M,-
0,St,B,p,bl,&,t,N,Uer
1,St,&,l,kn,E,xt,M,e
0,t,a,l,S,&,ft,F,en
0,k,),-,z,@,-,M,-
2,s,i,-,-,o,n,F,en
5,l,e,-,r,@,r,M,-
1,l,i,-,r,U,N,F,en
10,m,o,-,l,@,-,F,en
39,z,u,-,m,E,nt,M,en
0,k,@,-,l,U,N,F,en
130,l,e,r,l,I,N,M,e
2,n,i,-,t,),t,F,en
59,-,W,n,=,u,k,M,Ue
49,v,E,lt,S,U,=,M,e
11,p,@,r,t,W,l,N,e
0,d,@,l,k,O,+,M,Ue
15,-,E,nt,g,E,lt,N,e
2,r,O,k,z,B,m,M,Ue
0,=,i,-,-,o,n,F,en
0,t,i,-,j,I,st,M,en
0,S,@,-,r,W,-,F,en
0,g,@,r,z,U,xt,F,Ue
0,v,o,-,k,a,l,M,e
1,-,-,-,p,/,mps,M,-
38,m,E,xt,n,I,s,N,e
26,d,I,x,k,W,t,F,en
0,g,@,l,h,B,t,F,Ue
0,-,&,n,Sn,I,t,M,e
0,br,a,-,n,@,-,F,en
0,k,u,-,x,@,n,M,-
0,=,i,-,-,o,n,F,en
616,b,W,-,tr,a,k,M,Ue
12,f,Y,nf,k,&,m+,M,Ue
398,S,U,l,t,@,r,F,en
0,=,W,-,x,@,n,N,-
12,p,B,-,z,@,-,F,en
0,m,&,-,x,U,N,F,en
11,-,i,-,n,@,r,M,-
1,t,E,-,x,e,t,M,en
22,=,I,-,m,@,r,N,-
9,t,@,r,n,I,st,M,en
17,v,&,-,f,@,-,F,en
7,l,B,-,b,@,-,F,en
55,r,&,-,p,i,-,F,en
57,gn,a,-,d,@,-,F,en
0,p,E,x,t,@,r,M,-
42,=,e,n,t,@,l,N,-
13,n,@,-,r,W,-,F,en
0,k,u,-,g,@,l,F,en
0,t,@,-,r,W,-,F,en
58,f,),r,d,U,N,F,en
4,Sl,),-,g,@,r,M,-
3,g,@,-,m,a,l,M,e
45,k,O,-,m,@,n,N,-
0,=,i,-,-,o,n,F,en
0,fl,&,-,n,|,r,M,e
410,z,O,-,m,@,r,M,-
0,r,@,n,f,&,N,M,Ue
0,t,i,-,r,U,N,F,en
7,pr,E,-,z,E,nt,N,e
5,d,i,-,-,o,-,N,s
0,v,I,-,k,@,l,M,-
1,t,@,-,r,U,N,F,en
10,v,O,-,n,@,-,F,en
0,f,@,-,r,U,N,F,en
1,bl,W,x,z,U,xt,F,Ue
0,t,i,-,r,U,N,F,en
5,n,a,-,m,@,-,M,en
5,p,O,l,k,a,-,F,s
1,z,e,-,n,@,-,F,en
15,z,&,l,v,@,-,F,en
3,v,E,-,l,@,-,F,en
497,=,i,-,-,o,n,F,en
7,r,u,-,t,@,-,F,en
4,p,E,r,z,o,n,F,en
0,v,I,N,k,@,l,M,-
0,z,O,-,k,@,l,M,-
15,kl,W,-,d,U,N,F,en
0,tr,i,-,p,@,l,M,-
2,g,@,l,S,B,-,F,en
2,gn,o,-,z,@,-,F,en
0,g,@,-,v,I,xt,N,e
1035,r,e,-,d,@,-,F,en
6,-,E,rp,St,Y,k,N,e
0,-,&,n,gr,I,f,M,e
0,v,o,-,k,a,t,M,en
0,t,i,-,k,@,r,M,-
2,gr,o,-,v,@,-,F,en
5,b,@,-,r,I,xt,M,e
4,m,B,l,t,i,r,N,e
0,l,i,r,h,O,l=,N,Uer
0,St,O,-,k,U,N,F,en
0,-,U,n,Sl,I,t,N,e
0,t,u,-,-,@,r,M,-
0,ks,i,r,b,a,t,N,Uer
220,-,-,-,-,E,s,N,-
2,r,i,-,m,@,n,M,-
7,r,e,-,d,@,-,F,en
0,-,|,l,S,I,xt,F,en
0,t,o,-,gr,&,m,N,e
7,s,@,n,S,&,ft,F,en
3,k,O,-,pl,U,N,F,en
2,=,W,-,x,@,n,N,-
1,m,E,-,s,@,r,M,-
0,Sp,I,=,m,B,s,F,Uer
21,j,o,-,r,a,-,F,s
9,m,E,n,t,O,r,M,en
7,-,B,s,St,i,k,M,e
29,z,&,-,l,u,t,M,e
